Month Name,Agency,Description,Borough,# of Incidents,Response Times
2018 / 11,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Staten Island,1131,59.24
2018 / 11,EMS,Average response time to life threatening medical emergencies by ambulance units,Unspecified,9,737.11
2018 / 11,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Unspecified,22,1160.09
2018 / 11,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Unspecified,5,40.00
2018 / 11,FDNY,Average response time to structural fires,Brooklyn,438,270.16
2018 / 11,FDNY,Average response time to non-structural fires,Brooklyn,225,384.44
2018 / 11,FDNY,Average response time to non-fire emergencies,Brooklyn,8760,483.78
2018 / 11,FDNY,Average response time to life threatening medical emergencies by fire units,Brooklyn,4334,442.20
2018 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Brooklyn,663,62.14
2018 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Brooklyn,663,36.20
2018 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Brooklyn,663,1.36
2018 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Brooklyn,663,0.30
2018 / 11,FDNY,Average response time to structural fires,Bronx,289,314.20
2018 / 11,FDNY,Average response time to non-structural fires,Bronx,106,422.71
2018 / 11,FDNY,Average response time to non-fire emergencies,Bronx,6052,585.25
2018 / 11,FDNY,Average response time to life threatening medical emergencies by fire units,Bronx,2631,519.54
2018 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Bronx,395,41.67
2018 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Bronx,395,54.29
2018 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Bronx,395,3.03
2018 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Bronx,395,1.01
2018 / 11,FDNY,Average response time to structural fires,Manhattan,304,308.15
2018 / 11,FDNY,Average response time to non-structural fires,Manhattan,127,391.72
2018 / 11,FDNY,Average response time to non-fire emergencies,Manhattan,6992,547.77
2018 / 11,FDNY,Average response time to life threatening medical emergencies by fire units,Manhattan,3113,515.51
2018 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Manhattan,431,45.71
2018 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Manhattan,431,51.04
2018 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Manhattan,431,3.02
2018 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Manhattan,431,0.23
2018 / 11,FDNY,Average response time to structural fires,Queens,228,316.96
2018 / 11,FDNY,Average response time to non-structural fires,Queens,144,368.00
2018 / 11,FDNY,Average response time to non-fire emergencies,Queens,5931,551.26
2018 / 11,FDNY,Average response time to life threatening medical emergencies by fire units,Queens,2959,468.96
2018 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Queens,372,40.32
2018 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Queens,372,56.99
2018 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Queens,372,2.69
2018 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Queens,372,0.00
2018 / 11,FDNY,Average response time to structural fires,Staten Island,56,302.41
2018 / 11,FDNY,Average response time to non-structural fires,Staten Island,24,409.29
2018 / 11,FDNY,Average response time to non-fire emergencies,Staten Island,1491,509.10
2018 / 11,FDNY,Average response time to life threatening medical emergencies by fire units,Staten Island,757,455.03
2018 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Staten Island,80,45.00
2018 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Staten Island,80,51.25
2018 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Staten Island,80,3.75
2018 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Staten Island,80,0.00
2018 / 11,FDNY,Average response time to non-fire emergencies,Unspecified,7,661.00
2018 / 11,FDNY,Average response time to life threatening medical emergencies by fire units,Unspecified,2,827.00
2018 / 10,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Brooklyn,13298,521.38
2018 / 10,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Bronx,11387,566.18
2018 / 10,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Manhattan,12616,574.25
2018 / 10,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Queens,9298,524.76
2018 / 10,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Staten Island,2151,476.86
2018 / 10,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Unspecified,13,757.46
2018 / 10,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Brooklyn,601,520.79
2018 / 10,EMS,Average response time to life threatening medical emergencies by ambulance units,Brooklyn,12051,583.14
2018 / 10,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Brooklyn,29114,778.96
2018 / 10,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Brooklyn,7274,53.01
2018 / 10,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Bronx,439,497.80
2018 / 10,EMS,Average response time to life threatening medical emergencies by ambulance units,Bronx,10434,601.63
2018 / 10,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Bronx,24770,804.22
2018 / 10,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Bronx,4556,52.26
2018 / 10,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Manhattan,487,481.75
2018 / 10,EMS,Average response time to life threatening medical emergencies by ambulance units,Manhattan,11415,611.96
2018 / 10,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Manhattan,25215,879.16
2018 / 10,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Manhattan,7109,55.17
2018 / 10,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Queens,486,493.63
2018 / 10,EMS,Average response time to life threatening medical emergencies by ambulance units,Queens,8370,580.73
2018 / 10,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Queens,19857,662.30
2018 / 10,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Queens,4715,45.26
2018 / 10,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Staten Island,137,463.44
2018 / 10,EMS,Average response time to life threatening medical emergencies by ambulance units,Staten Island,1957,525.20
2018 / 10,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Staten Island,4335,617.21
2018 / 10,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Staten Island,1185,59.75
2018 / 10,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Unspecified,2,620.50
2018 / 10,EMS,Average response time to life threatening medical emergencies by ambulance units,Unspecified,10,807.30
2018 / 10,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Unspecified,33,958.76
2018 / 10,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Unspecified,3,0.00
2018 / 10,FDNY,Average response time to structural fires,Brooklyn,318,259.66
2018 / 10,FDNY,Average response time to non-structural fires,Brooklyn,166,339.19
2018 / 10,FDNY,Average response time to non-fire emergencies,Brooklyn,9241,486.98
2018 / 10,FDNY,Average response time to life threatening medical emergencies by fire units,Brooklyn,4379,435.18
2018 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Brooklyn,484,67.77
2018 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Brooklyn,484,31.40
2018 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Brooklyn,484,0.62
2018 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Brooklyn,484,0.21
2018 / 10,FDNY,Average response time to structural fires,Bronx,275,312.05
2018 / 10,FDNY,Average response time to non-structural fires,Bronx,72,385.99
2018 / 10,FDNY,Average response time to non-fire emergencies,Bronx,6379,544.54
2018 / 10,FDNY,Average response time to life threatening medical emergencies by fire units,Bronx,2709,491.46
2018 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Bronx,347,42.94
2018 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Bronx,347,55.33
2018 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Bronx,347,1.73
2018 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Bronx,347,0.00
2018 / 10,FDNY,Average response time to structural fires,Manhattan,231,302.94
2018 / 10,FDNY,Average response time to non-structural fires,Manhattan,157,412.68
2018 / 10,FDNY,Average response time to non-fire emergencies,Manhattan,7438,527.31
2018 / 10,FDNY,Average response time to life threatening medical emergencies by fire units,Manhattan,3372,493.29
2018 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Manhattan,388,45.62
2018 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Manhattan,388,49.23
2018 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Manhattan,388,4.38
2018 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Manhattan,388,0.77
2018 / 10,FDNY,Average response time to structural fires,Queens,199,305.84
2018 / 10,FDNY,Average response time to non-structural fires,Queens,123,402.72
2018 / 10,FDNY,Average response time to non-fire emergencies,Queens,6015,533.34
2018 / 10,FDNY,Average response time to life threatening medical emergencies by fire units,Queens,2936,457.81
2018 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Queens,322,41.30
2018 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Queens,322,54.35
2018 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Queens,322,4.35
2018 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Queens,322,0.00
2018 / 10,FDNY,Average response time to structural fires,Staten Island,27,322.56
2018 / 10,FDNY,Average response time to non-structural fires,Staten Island,15,377.40
2018 / 10,FDNY,Average response time to non-fire emergencies,Staten Island,1450,490.22
2018 / 10,FDNY,Average response time to life threatening medical emergencies by fire units,Staten Island,714,447.11
2018 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Staten Island,42,35.71
2018 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Staten Island,42,61.90
2018 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Staten Island,42,2.38
2018 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Staten Island,42,0.00
2018 / 10,FDNY,Average response time to non-fire emergencies,Unspecified,11,653.36
2018 / 10,FDNY,Average response time to life threatening medical emergencies by fire units,Unspecified,3,655.00
2018 / 09,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Brooklyn,12334,529.60
2018 / 09,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Bronx,10601,569.32
2018 / 09,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Manhattan,11526,582.26
2018 / 09,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Queens,8568,536.25
2018 / 09,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Staten Island,1952,487.61
2018 / 09,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Unspecified,18,863.50
2018 / 09,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Brooklyn,489,502.54
2018 / 09,EMS,Average response time to life threatening medical emergencies by ambulance units,Brooklyn,11215,588.07
2018 / 09,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Brooklyn,27742,772.71
2018 / 09,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Brooklyn,6699,53.62
2018 / 09,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Bronx,440,517.08
2018 / 09,EMS,Average response time to life threatening medical emergencies by ambulance units,Bronx,9805,602.20
2018 / 09,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Bronx,23721,819.34
2018 / 09,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Bronx,4226,51.18
2018 / 09,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Manhattan,445,475.76
2018 / 09,EMS,Average response time to life threatening medical emergencies by ambulance units,Manhattan,10467,620.65
2018 / 09,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Manhattan,23864,891.91
2018 / 09,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Manhattan,6467,56.05
2018 / 09,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Queens,445,504.30
2018 / 09,EMS,Average response time to life threatening medical emergencies by ambulance units,Queens,7769,589.10
2018 / 09,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Queens,18878,669.17
2018 / 09,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Queens,4432,43.01
2018 / 09,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Staten Island,101,489.33
2018 / 09,EMS,Average response time to life threatening medical emergencies by ambulance units,Staten Island,1778,542.72
2018 / 09,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Staten Island,4110,619.19
2018 / 09,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Staten Island,1028,54.96
2018 / 09,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Unspecified,1,390.00
2018 / 09,EMS,Average response time to life threatening medical emergencies by ambulance units,Unspecified,10,631.10
2018 / 09,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Unspecified,28,962.04
2018 / 09,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Unspecified,3,66.67
2018 / 09,FDNY,Average response time to structural fires,Brooklyn,349,275.72
2018 / 09,FDNY,Average response time to non-structural fires,Brooklyn,196,307.34
2018 / 09,FDNY,Average response time to non-fire emergencies,Brooklyn,9068,476.10
2018 / 09,FDNY,Average response time to life threatening medical emergencies by fire units,Brooklyn,4181,428.58
2018 / 09,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Brooklyn,545,65.50
2018 / 09,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Brooklyn,545,33.21
2018 / 09,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Brooklyn,545,1.28
2018 / 09,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Brooklyn,545,0.00
2018 / 09,FDNY,Average response time to structural fires,Bronx,267,304.43
2018 / 09,FDNY,Average response time to non-structural fires,Bronx,96,405.13
2018 / 09,FDNY,Average response time to non-fire emergencies,Bronx,6448,547.41
2018 / 09,FDNY,Average response time to life threatening medical emergencies by fire units,Bronx,2751,493.25
2018 / 09,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Bronx,363,47.38
2018 / 09,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Bronx,363,50.41
2018 / 09,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Bronx,363,1.93
2018 / 09,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Bronx,363,0.28
2018 / 09,FDNY,Average response time to structural fires,Manhattan,204,303.24
2018 / 09,FDNY,Average response time to non-structural fires,Manhattan,134,376.67
2018 / 09,FDNY,Average response time to non-fire emergencies,Manhattan,7307,524.80
2018 / 09,FDNY,Average response time to life threatening medical emergencies by fire units,Manhattan,3212,497.13
2018 / 09,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Manhattan,338,42.90
2018 / 09,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Manhattan,338,53.55
2018 / 09,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Manhattan,338,3.55
2018 / 09,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Manhattan,338,0.00
2018 / 09,FDNY,Average response time to structural fires,Queens,198,304.22
2018 / 09,FDNY,Average response time to non-structural fires,Queens,134,394.07
2018 / 09,FDNY,Average response time to non-fire emergencies,Queens,5678,544.02
2018 / 09,FDNY,Average response time to life threatening medical emergencies by fire units,Queens,2729,470.43
2018 / 09,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Queens,332,45.18
2018 / 09,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Queens,332,50.90
2018 / 09,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Queens,332,3.61
2018 / 09,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Queens,332,0.30
2018 / 09,FDNY,Average response time to structural fires,Staten Island,25,295.48
2018 / 09,FDNY,Average response time to non-structural fires,Staten Island,41,356.22
2018 / 09,FDNY,Average response time to non-fire emergencies,Staten Island,1361,494.53
2018 / 09,FDNY,Average response time to life threatening medical emergencies by fire units,Staten Island,683,427.39
2018 / 09,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Staten Island,66,40.91
2018 / 09,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Staten Island,66,57.58
2018 / 09,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Staten Island,66,1.52
2018 / 09,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Staten Island,66,0.00
2018 / 09,FDNY,Average response time to non-structural fires,Unspecified,1,206.00
2018 / 09,FDNY,Average response time to non-fire emergencies,Unspecified,15,997.20
2018 / 09,FDNY,Average response time to life threatening medical emergencies by fire units,Unspecified,2,671.50
2018 / 09,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Unspecified,1,100.00
2018 / 09,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Unspecified,1,0.00
2018 / 09,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Unspecified,1,0.00
2018 / 09,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Unspecified,1,0.00
2018 / 08,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Brooklyn,12961,510.25
2018 / 08,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Bronx,10817,559.78
2018 / 08,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Manhattan,12201,561.14
2018 / 08,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Queens,9030,529.55
2018 / 08,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Staten Island,1952,482.61
2018 / 08,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Unspecified,16,595.71
2018 / 08,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Brooklyn,548,506.43
2018 / 08,EMS,Average response time to life threatening medical emergencies by ambulance units,Brooklyn,11661,574.67
2018 / 08,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Brooklyn,28965,719.70
2018 / 08,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Brooklyn,7269,54.11
2018 / 08,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Bronx,450,491.34
2018 / 08,EMS,Average response time to life threatening medical emergencies by ambulance units,Bronx,9943,589.31
2018 / 08,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Bronx,24591,763.99
2018 / 08,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Bronx,4428,52.17
2018 / 08,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Manhattan,493,492.38
2018 / 08,EMS,Average response time to life threatening medical emergencies by ambulance units,Manhattan,10928,590.32
2018 / 08,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Manhattan,25579,835.35
2018 / 08,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Manhattan,7006,59.76
2018 / 08,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Queens,469,497.13
2018 / 08,EMS,Average response time to life threatening medical emergencies by ambulance units,Queens,8075,585.77
2018 / 08,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Queens,20096,654.41
2018 / 08,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Queens,4627,42.32
2018 / 08,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Staten Island,115,475.77
2018 / 08,EMS,Average response time to life threatening medical emergencies by ambulance units,Staten Island,1765,527.24
2018 / 08,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Staten Island,4147,589.40
2018 / 08,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Staten Island,1067,56.04
2018 / 08,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Unspecified,2,838.00
2018 / 08,EMS,Average response time to life threatening medical emergencies by ambulance units,Unspecified,10,702.90
2018 / 08,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Unspecified,35,900.06
2018 / 08,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Unspecified,5,20.00
2018 / 08,FDNY,Average response time to structural fires,Brooklyn,338,273.86
2018 / 08,FDNY,Average response time to non-structural fires,Brooklyn,236,358.71
2018 / 08,FDNY,Average response time to non-fire emergencies,Brooklyn,9255,470.02
2018 / 08,FDNY,Average response time to life threatening medical emergencies by fire units,Brooklyn,4473,426.39
2018 / 08,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Brooklyn,574,61.04
2018 / 08,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Brooklyn,574,37.74
2018 / 08,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Brooklyn,574,0.70
2018 / 08,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Brooklyn,574,0.52
2018 / 08,FDNY,Average response time to structural fires,Bronx,250,299.42
2018 / 08,FDNY,Average response time to non-structural fires,Bronx,106,359.58
2018 / 08,FDNY,Average response time to non-fire emergencies,Bronx,6523,557.47
2018 / 08,FDNY,Average response time to life threatening medical emergencies by fire units,Bronx,2710,498.34
2018 / 08,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Bronx,356,49.44
2018 / 08,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Bronx,356,49.44
2018 / 08,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Bronx,356,1.12
2018 / 08,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Bronx,356,0.00
2018 / 08,FDNY,Average response time to structural fires,Manhattan,209,293.56
2018 / 08,FDNY,Average response time to non-structural fires,Manhattan,151,387.16
2018 / 08,FDNY,Average response time to non-fire emergencies,Manhattan,7322,542.30
2018 / 08,FDNY,Average response time to life threatening medical emergencies by fire units,Manhattan,3313,490.40
2018 / 08,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Manhattan,360,46.39
2018 / 08,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Manhattan,360,51.39
2018 / 08,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Manhattan,360,1.67
2018 / 08,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Manhattan,360,0.56
2018 / 08,FDNY,Average response time to structural fires,Queens,180,326.11
2018 / 08,FDNY,Average response time to non-structural fires,Queens,173,423.22
2018 / 08,FDNY,Average response time to non-fire emergencies,Queens,5964,546.31
2018 / 08,FDNY,Average response time to life threatening medical emergencies by fire units,Queens,2950,476.16
2018 / 08,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Queens,353,36.54
2018 / 08,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Queens,353,59.49
2018 / 08,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Queens,353,3.12
2018 / 08,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Queens,353,0.85
2018 / 08,FDNY,Average response time to structural fires,Staten Island,43,314.09
2018 / 08,FDNY,Average response time to non-structural fires,Staten Island,38,368.45
2018 / 08,FDNY,Average response time to non-fire emergencies,Staten Island,1409,500.13
2018 / 08,FDNY,Average response time to life threatening medical emergencies by fire units,Staten Island,662,434.80
2018 / 08,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Staten Island,81,41.98
2018 / 08,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Staten Island,81,54.32
2018 / 08,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Staten Island,81,3.70
2018 / 08,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Staten Island,81,0.00
2018 / 08,FDNY,Average response time to non-structural fires,Unspecified,1,366.00
2018 / 08,FDNY,Average response time to non-fire emergencies,Unspecified,18,621.89
2018 / 08,FDNY,Average response time to life threatening medical emergencies by fire units,Unspecified,5,581.00
2018 / 08,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Unspecified,1,0.00
2018 / 08,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Unspecified,1,100.00
2018 / 08,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Unspecified,1,0.00
2018 / 08,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Unspecified,1,0.00
2018 / 07,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Brooklyn,12983,522.79
2018 / 07,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Bronx,10578,592.41
2018 / 07,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Manhattan,11973,547.73
2018 / 07,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Queens,8938,527.39
